PALAVRA,Transc.Fon,VOGAL,F1,F2,F1.NORM,F2.NORM,CONT.PREC,CONT.SEG,VOGAL.SIL.SEG,F1.SIL.SEG,F2.SIL.SEG,F1.SEG.NORM,F2.SEG.NORM,VOGAL.TONICA,DIST.TONICA,ESTR.SIL.PRET,Begin.Time.s,End.Time.s,Duration.ms,AMOSTRA,PARTICIPANTE,SEXO,IDADE,IDADE.CHEGADA,ANOS.SP,CONTEXTO
verdade,v<e>r-'da-de,e,617.3676862044,1984.2325634743,448.936,1682.257,v,r,a,709.9359823943,1578.4985819319,392.453,1313.358,a,1,CVr,832.8674663532,832.888944127,21.4777737987,PBSP,MartaS,feminino,32,18,14,era verdade mesmo porque a gente ia pra um lugar que não tinha parente nenhum
lugar,l<u>-'gar,u,412.2787714693,842.9147449543,367.018,1089.226,l,g,a,786.4281081862,1633.207169593,415.695,1339.77,a,1,CV,834.5016146741,834.5269316492,25.3169751317,PBSP,MartaS,feminino,32,18,14,era verdade mesmo porque a gente ia pra um lugar que não tinha parente nenhum
difícil,d<i>-'fi-siw,i,404.6621234463,1998.6597228243,363.984,1689.642,d,f,i,424.4234866826,2081.4028168347,305.789,1556.559,i,1,CV,878.7901102089,878.8054836367,15.3734277465,PBSP,MartaS,feminino,32,18,14,que eu como eu te falei foi muito difícil pra mim
desesperada,d<e>-z<e>s-p<e>-'Ra-da,e,561.9391907677,2113.8974355097,426.764,1749.393,p,R,a,769.5084756739,1565.167378457,410.549,1306.799,a,1,CV,895.8522346482,895.8761257859,23.8911377143,PBSP,MartaS,feminino,32,18,14,que teve uma época que eu estava tão desesperada que eu queria ir embora mesmo sabe
mulher,m<u>-'Ler,u,472.1631459086,1084.4660465461,390.917,1214.77,m,L,é,443.8855994987,1928.8030167601,311.707,1482.641,e,1,CV,938.5042611803,938.520622747,16.3615667656,PBSP,MartaS,feminino,32,18,14,mais seis são cinco mulher e cinco homem lá em casa
mulher,m<u>-'Ler,u,376.3581235881,983.7309093357,352.689,1162.404,m,L,é,659.4684956768,1795.9997135206,377.144,1418.473,e,1,CV,944.146446799,944.1689439533,22.4971543028,PBSP,MartaS,feminino,32,18,14,é tem duas mulher aqui mais três mulher lá
mulher,m<u>-'Ler,u,370.5510778418,1056.3054684582,350.355,1200.224,m,L,é,601.0110896121,1965.5045999742,359.391,1500.544,e,1,CV,945.137944121,945.1604412753,22.4971543028,PBSP,MartaS,feminino,32,18,14,é tem duas mulher aqui mais três mulher lá
negócio,n<e>-'go-sio,e,584.8730028974,1989.7459201984,435.96,1684.942,n,g,ó,547.7092395735,1205.1037446262,343.225,1132.73,o,1,CV,960.4594792111,960.4726193368,13.1401257429,PBSP,MartaS,feminino,32,18,14,e lá não tinha esse negócio de ultrassom
imaginou,<i>-m<a>-Z<i>-'now,i,550.8318067367,1852.9874908836,422.33,1614.003,Z,n,ow,344.0738060591,899.0746995888,281.389,984.718,ow,1,CV,962.3629213987,962.3782948265,15.3734277466,PBSP,MartaS,feminino,32,18,14,que você já imaginou né
visitar,v<i>-z<i>-'tar,i,434.9047010765,1482.0386585098,376.074,1421.324,v,z,i,455.6703719872,2422.1901471643,315.266,1721.233,a,2,CV,969.0153633534,969.0294556622,14.0923087677,PBSP,MartaS,feminino,32,18,14,aí meu avô chegou pra visitar ela e não deixou
